"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-01",,,,,,,"69","56",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-02",,,,,,,"72","58",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-03",,,,,,,"70","60",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-04",,,,,,,"71","58",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-05",,,,,,,"73","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-06",,,,,,,"78","55",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-07",,,,,,,"78","56",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-08",,,,,,,"71","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-09",,,,,,,"71","56",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-10",,,,,,,"77","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-12",,,,,,,"84","61",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-13",,,,,,,"75","65",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-14",,,,,,,"80","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-15",,,,,,,"84","59",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-16",,,,,,,"82","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-17",,,,,,,"81","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-18",,,,,,,"88","63",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-19",,,,,,,"91","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-20",,,,,,,"92","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-21",,,,,,,"87","74",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-22",,,,,,,"85","70",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-23",,,,,,,"94","67",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-24",,,,,,,"94","70",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-25",,,,,,,"93","70",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-26",,,,,,,"87","68",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-27",,,,,,,"89","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-28",,,,,,,"89","67",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-29",,,,,,,"89","70",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-06-30",,,,,,,"89","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-01",,,,,,,"91","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-02",,,,,,,"94","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-03",,,,,,,"83","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-04",,,,,,,"71","61",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-05",,,,,,,"79","52",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-06",,,,,,,"85","54",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-07",,,,,,,"89","63",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-08",,,,,,,"89","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-09",,,,,,,"82","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-10",,,,,,,"82","61",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-11",,,,,,,"88","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-12",,,,,,,"93","68",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-13",,,,,,,"96","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-14",,,,,,,"95","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-15",,,,,,,"91","63",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-16",,,,,,,"92","62",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-17",,,,,,,"95","64",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-18",,,,,,,"96","70",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-19",,,,,,,"96","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-20",,,,,,,"95","71",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-21",,,,,,,"95","73",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-22",,,,,,,"90","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-23",,,,,,,"88","73",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-24",,,,,,,"89","69",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-25",,,,,,,"99","72",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-26",,,,,,,"100","73",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-27",,,,,,,"98","71",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-28",,,,,,,"92","76",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-29",,,,,,,"84","66",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-30",,,,,,,"83","60",,,,,,,,,
"USW00053904","ST CHARLES CO AIRPORT, MO US","1997-07-31",,,,,,,"86","60",,,,,,,,,
